Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 5102 5243 5135 5363 5265
1 5323 5417 5298 5709 5438
1.5 5537 5531 5490 5751 5658
2 5566 5535 5541 5814 5777
2.5 5594 5649 5595 5854 5777
5 5710 5702 5692 5896 5856
7.5 5714 5802 5698 5897 5865
10 5743 5808 5706 5898 5880
12.5 5764 5832 5729 5908 5903
15 5777 5847 5756 5908 5903
17.5 5781 5849 5803 5911 5904
20 5792 5869 5828 5916 5904
22.5 5806 5878 5828 5919 5904
25 5815 5885 5833 5920 5904
27.5 5815 5885 5836 5924 5904
30 5834 5888 5838 5924 5904
32.5 5838 5894 5838 5924 5904
35 5838 5897 5838 5924 5904
37.5 5838 5897 5840 5924 5904
40 5840 5902 5851 5924 5907
42.5 5851 5902 5860 5924 5908
45 5863 5904 5885 5924 5911
47.5 5885 5904 5885 5924 5920
50 5885 5907 5885 5938 5922
