Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 5177 5014 5073 5144 5033
1 5235 5283 5304 5447 5377
1.5 5244 5313 5401 5451 5431
2 5375 5352 5406 5472 5467
2.5 5402 5358 5438 5571 5472
5 5482 5495 5509 5598 5552
7.5 5542 5529 5519 5606 5567
10 5561 5572 5528 5606 5577
12.5 5584 5577 5530 5633 5580
15 5590 5577 5542 5641 5604
17.5 5590 5588 5550 5644 5606
20 5590 5588 5570 5646 5606
22.5 5590 5590 5584 5646 5606
25 5590 5590 5590 5646 5607
27.5 5590 5590 5590 5649 5609
30 5592 5593 5592 5649 5626
32.5 5592 5593 5592 5649 5626
35 5593 5593 5592 5656 5637
37.5 5597 5597 5592 5656 5638
40 5597 5597 5597 5656 5641
42.5 5597 5606 5597 5656 5641
45 5603 5609 5603 5656 5641
47.5 5603 5609 5603 5661 5646
50 5607 5646 5607 5661 5649
